dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema_1,table_name_1,column_name_1
postgresql,def,public,dispute_messages,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_messages,senderId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_messages,replyToMessageId,4,uuid,,FOREIGN KEY,public,dispute_messages,id
postgresql,def,public,dispute_messages,relatedEvidenceId,5,uuid,,FOREIGN KEY,public,dispute_evidences,id
postgresql,def,public,dispute_messages,hearingId,6,uuid,,FOREIGN KEY,public,dispute_hearings,id
postgresql,def,public,dispute_notes,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_notes,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_notes,authorId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_resolution_feedbacks,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_resolution_feedbacks,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_resolution_feedbacks,staffId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_resolution_feedbacks,userId,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_settlements,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_settlements,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_settlements,proposerId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_settlements,responderId,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_skill_requirements,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_skill_requirements,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_skill_requirements,skillId,3,uuid,,FOREIGN KEY,public,skills,id
postgresql,def,public,dispute_skill_requirements,addedById,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_verdicts,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_verdicts,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_verdicts,adjudicatorId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_verdicts,overridesVerdictId,4,uuid,,FOREIGN KEY,public,dispute_verdicts,id
postgresql,def,public,disputes,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,disputes,projectId,2,uuid,,FOREIGN KEY,public,projects,id
postgresql,def,public,disputes,raisedById,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,disputes,defendantId,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,disputes,resolvedById,5,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,disputes,milestoneId,6,uuid,,FOREIGN KEY,public,milestones,id
postgresql,def,public,disputes,parentDisputeId,7,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,disputes,assignedStaffId,8,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,disputes,escalatedToAdminId,9,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,documents,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,documents,projectId,2,uuid,,FOREIGN KEY,public,projects,id
postgresql,def,public,documents,uploaderId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,escrows,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,escrows,projectId,2,uuid,,FOREIGN KEY,public,projects,id
postgresql,def,public,escrows,milestoneId,3,uuid,,FOREIGN KEY,public,milestones,id
postgresql,def,public,escrows,disputeId,4,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,event_participants,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,event_participants,eventId,2,uuid,,FOREIGN KEY,public,calendar_events,id
postgresql,def,public,event_participants,userId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,event_reschedule_requests,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,event_reschedule_requests,eventId,2,uuid,,FOREIGN KEY,public,calendar_events,id
postgresql,def,public,event_reschedule_requests,requesterId,3,uuid,,FOREIGN KEY,public,users,id
